nama_kabupaten_kota,tahun,kab/kota,keterangan,total
KOTA TASIKMALAYA,2010-01-01,Kota Tasikmalaya,Balita Pendek,
KOTA BANJAR,2010-01-01,Kota Banjar,Balita Pendek,
KABUPATEN BOGOR,2011-01-01,Bogor,Balita Pendek,
KABUPATEN SUKABUMI,2011-01-01,Sukabumi,Balita Pendek,
KABUPATEN CIANJUR,2011-01-01,Cianjur,Balita Pendek,
KABUPATEN BANDUNG,2011-01-01,Bandung,Balita Pendek,
KABUPATEN GARUT,2011-01-01,Garut,Balita Pendek,
KABUPATEN TASIKMALAYA,2011-01-01,Tasikmalaya,Balita Pendek,
KABUPATEN CIAMIS,2011-01-01,Ciamis,Balita Pendek,
KABUPATEN KUNINGAN,2011-01-01,Kuningan,Balita Pendek,
KABUPATEN CIREBON,2011-01-01,Cirebon,Balita Pendek,
KABUPATEN MAJALENGKA,2011-01-01,Majalengka,Balita Pendek,
