nama_kabupaten_kota,tahun,kab/kota,keterangan,total
KABUPATEN BANDUNG,2021-01-01,Bandung,Total Anak 0-23 Bulan,93968.0
KABUPATEN GARUT,2021-01-01,Garut,Total Anak 0-23 Bulan,70474.0
KABUPATEN TASIKMALAYA,2021-01-01,Tasikmalaya,Total Anak 0-23 Bulan,44877.0
KABUPATEN CIAMIS,2021-01-01,Ciamis,Total Anak 0-23 Bulan,26422.0
KABUPATEN KUNINGAN,2021-01-01,Kuningan,Total Anak 0-23 Bulan,29992.0
KABUPATEN CIREBON,2021-01-01,Cirebon,Total Anak 0-23 Bulan,72750.0
KABUPATEN MAJALENGKA,2021-01-01,Majalengka,Total Anak 0-23 Bulan,33622.0
KABUPATEN SUMEDANG,2021-01-01,Sumedang,Total Anak 0-23 Bulan,24823.0
KABUPATEN INDRAMAYU,2021-01-01,Indramayu,Total Anak 0-23 Bulan,37977.0
KABUPATEN SUBANG,2021-01-01,Subang,Total Anak 0-23 Bulan,49342.0
KABUPATEN PURWAKARTA,2021-01-01,Purwakarta,Total Anak 0-23 Bulan,23457.0
KABUPATEN KARAWANG,2021-01-01,Karawang,Total Anak 0-23 Bulan,42705.0
KABUPATEN BEKASI,2021-01-01,Bekasi,Total Anak 0-23 Bulan,45803.0
KABUPATEN BANDUNG BARAT,2021-01-01,Bandung Barat,Total Anak 0-23 Bulan,50043.0
